Customer_id,Account Number,Age,Date of Birth,Sex,Occupation,City,Bank Deposit,Saving Accounts,Full name,City id,Account_Open_Date,Account Type,Account officer,Opening Balance,Transaction_id,Transaction type,Transaction Medium,Date_of_transaction,Amount,Bank Loans,Transaction Hour,Age_class
NZ70122,6178667,54,1968-05-24 12:00:00,Male,HR_Admin,Anambra,272917.58,68229.4,Jimmy Willis,Kad-HR001,1993-05-25,Joint,Jeremy Vasquez,138181.23,MD001,Money Deposit,Bank,2021-10-07,25128.0,0,12.0,Adult
NZ75973,6975495,24,1998-05-25 00:00:00,Male,Information_Technology_And_Software,Benue,262988.54,51169.56,Randy Wheeler,Abu-HR001,2007-05-24,Corporate,Ernest Rivera,335526.8,OP001,Online Payment,Internet Banking,2021-12-27,62567.0,0,0.0,Young Adult
NZ68936,8590073,45,1977-05-24 18:00:00,Male,Science_And_Research,Kogi,2027877.93,246092.8,Martin Jordan,Lag-HR001,1989-05-25,Domiciliary,Nicholas Simmons,75434.29,CW001,Cash Withdrawal,ATM,2022-03-12,20579.97,0,12.0,Adult
NZ48804,9052794,26,1996-05-24 12:00:00,Female,Marketing_Sales_Customer,Edo,581228.14,224547.8,Tina Alvarez,Kan-HR001,2013-05-25,Joint,Joshua Ryan,261370.56,MD001,Money Deposit,Bank,2021-04-09,38045.28,0,12.0,Young Adult
NZ94482,9358210,59,1963-05-25 06:00:00,Male,Science_And_Research,Bayelsa,154796.16,33528.85,Ann White,Ana-HR001,2010-05-24,Joint,Joshua Little,103215.16,LP001,Loan Payment,AFT,2021-05-26,20290.12,2271164904,12.0,Adult
NZ64425,9638448,34,1988-05-24 12:00:00,Female,Healthcare,Osun,1052128.73,143074.15,Donald Sullivan,Bay-HR001,1990-05-24,Domiciliary,Shawn Wallace,70908.01,MT001,Money Transfer,Mobile,2021-11-06,5827.36,0,12.0,Adult
NZ49390,9739453,34,1988-05-24 12:00:00,Female,Science_And_Research,Kano,130522.58,95585.44,Joseph Morris,Ogu-HR001,1988-05-25,Current,Jesse Evans,199522.9,OP001,Online Payment,Mobile,2021-02-08,10202.04,0,18.0,Adult
NZ23784,10934082,30,1992-05-24 12:00:00,Male,Marketing_Sales_Customer,Ogun,226675.84,56240.11,Craig Hudson,Ogu-HR001,2018-05-24,Domiciliary,Jesse Evans,59538.68,OP001,Online Payment,Mobile,2021-11-05,13632.06,0,12.0,Adult
NZ54572,11295299,78,1944-05-24 12:00:00,Female,Executive_Management,Kogi,765153.59,308192.24,Louise Sanders,Kwa-HR001,1958-05-24,Domiciliary,Phillip Peters,63246.3,MT001,Money Transfer,Bank,2021-04-30,18575.7,0,18.0,Old
NZ29462,13936702,26,1996-05-24 12:00:00,Female,Accounting_And_Finance,Lagos,806418.6,378680.74,Richard Simpson,Abi-HR001,1955-05-24,Corporate,Roy Rice,150196.43,OP001,Online Payment,Mobile,2022-02-22,66077.96,0,6.0,Young Adult
NZ35234,14018624,44,1978-05-25 00:00:00,Male,Engineering,River,890641.96,152246.49,Teresa Nelson,Lag-HR001,1978-05-24,Domiciliary,Adam Hernandez,153294.08,CW001,Cash Withdrawal,Bank,2021-05-22,47332.48,0,12.0,Adult
NZ13509,15764858,63,1959-05-25 06:00:00,Male,Education,Kwara,624483.37,133223.12,Richard Henry,Osu-HR001,1962-05-24,Domiciliary,James Castillo,89675.55,LP001,Loan Payment,ACH,2021-10-10,4607.33,9895652532,18.0,Adult
NZ91902,15770503,46,1976-05-24 12:00:00,Female,Accounting_And_Finance,Enugu,573794.84,137859.8,Lawrence Ray,Abu-HR001,1955-05-24,Joint,George Lewis,106275.03,CW001,Cash Withdrawal,ATM,2021-05-08,28488.75,0,12.0,Adult
NZ90141,17592642,83,1939-05-25 06:00:00,Female,Legal,Imo,1568223.22,250915.71,John Parker,Riv-HR001,1968-05-25,Corporate,Mark Montgomery,17723.12,CH001,Checks,Informal Services,2021-03-05,3331.5,0,6.0,Old
NZ17839,17757953,23,1999-05-25 06:00:00,Female,Engineering,Lagos,817996.87,124971.74,Anthony Alexander,Edo-HR001,1988-05-25,Savings,Victor Martinez,520192.44,MT001,Money Transfer,Internet Banking,2021-03-06,7529.28,0,6.0,Young Adult
NZ65931,19187512,63,1959-05-25 06:00:00,Female,Accounting_And_Finance,Lagos,966281.34,396819.54,Mary Fox,Lag-HR001,2012-05-25,Current,Carl Nguyen,73244.43,OP001,Online Payment,Mobile,2021-12-02,24085.8,0,0.0,Adult
NZ83775,20886327,76,1946-05-25 00:00:00,Female,Information_Technology_And_Software,Oyo,814077.78,115318.7,Billy Robertson,Del-HR001,1975-05-24,Joint,Todd Roberts,214416.0,LP001,Loan Payment,AFT,2021-05-06,9375.2,1622899728,6.0,Old
NZ83775,20886327,76,1946-05-25 00:00:00,Female,Office_Clerical,Oyo,814077.78,115318.7,Billy Robertson,Del-HR001,1975-05-24,Joint,Todd Roberts,214416.0,LP001,Loan Payment,AFT,2021-05-06,9375.2,1622899728,6.0,Old
NZ13347,21129169,48,1974-05-25 00:00:00,Female,Marketing_Sales_Customer,Imo,191303.26,208032.92,Timothy Moore,Imo-HR001,1962-05-24,Domiciliary,Joe Price,280286.64,MD001,Money Deposit,Bank,2022-03-04,42697.75,0,0.0,Adult
NZ19945,21760390,55,1967-05-25 06:00:00,Male,HR_Admin,Lagos,832390.54,233836.03,Fred White,Abu-HR001,1956-05-25,Savings,Ernest Rivera,40099.99,MT001,Money Transfer,Internet Banking,2022-01-05,12527.2,0,0.0,Adult
NZ85690,21780220,24,1998-05-25 00:00:00,Male,Accounting_And_Finance,Anambra,424789.34,140851.2,Antonio Owens,Kan-HR001,2018-05-24,Savings,Joshua Ryan,488443.97,MD001,Money Deposit,Bank,2021-03-28,38137.68,0,12.0,Young Adult
NZ81185,22285799,73,1949-05-24 18:00:00,Female,Science_And_Research,Abuja,1051950.53,624309.77,Nicholas Mitchell,Abu-HR001,2013-05-25,Current,Anthony Torres,343075.51,MT001,Money Transfer,Mobile,2021-11-21,67354.12,0,18.0,Senior
NZ15894,22939715,32,1990-05-25 00:00:00,Female,Executive_Management,River,1066417.1,182791.79,Samuel Alvarez,Ana-HR001,1997-05-25,Domiciliary,Bruce Porter,343263.8,CW001,Cash Withdrawal,ATM,2021-12-19,34554.55,0,0.0,Adult
NZ44237,23435974,18,1989-04-19 18:00:00,Female,Education,Kwara,758526.64,857334.65,NWORJI JOH,Del-HR001,2005-05-25,Joint,Todd Roberts,181216.69,LP001,Loan Payment,AFT,2022-02-25,32758.77,4086617152,12.0,Teen
NZ35225,23985999,51,1971-05-25 06:00:00,Female,Engineering,Cross River,432786.1,160195.45,Joe Gordon,Ana-HR001,1976-05-25,Current,Bruce Porter,68808.96,CW001,Cash Withdrawal,ATM,2021-03-27,19788.6,0,12.0,Adult
NZ74794,25045676,43,1979-05-25 06:00:00,Female,Executive_Management,Lagos,257445.07,46827.9,Lillian Nelson,Abu-HR001,1964-05-25,Domiciliary,Ernest Rivera,154172.7,OP001,Online Payment,Card,2021-12-21,4635.45,0,0.0,Adult
NZ85021,25583562,33,1989-05-24 18:00:00,Male,Engineering,Imo,52344.55,11676.86,Stephanie Morris,Lag-HR001,2011-05-24,Current,Adam Hernandez,255296.03,CW001,Cash Withdrawal,ATM,2021-04-09,65724.8,0,0.0,Adult
NZ66163,25972264,38,1984-05-24 12:00:00,Female,Science_And_Research,River,712489.37,74735.59,Larry Ray,Kan-HR001,2013-05-25,Savings,Joshua Ryan,91714.87,LP001,Loan Payment,AFT,2021-12-06,17365.92,4093709004,12.0,Adult
NZ66163,25972264,38,1984-05-24 12:00:00,Female,Healthcare,River,712489.37,74735.59,Larry Ray,Kan-HR001,2013-05-25,Savings,Joshua Ryan,91714.87,LP001,Loan Payment,AFT,2021-12-06,17365.92,4093709004,12.0,Adult
NZ62970,26099667,73,1949-05-24 18:00:00,Female,Executive_Management,River,250220.19,122177.83,Marie Reynolds,Ogu-HR001,1999-05-24,Savings,Joe Hanson,204694.71,MT001,Money Transfer,Bank,2021-01-10,21047.14,0,0.0,Senior
NZ71164,26700503,80,1942-05-25 00:00:00,Male,Healthcare,Imo,228420.0,50252.4,Judith Jacobs,Lag-HR001,1980-05-25,Domiciliary,Patrick Graham,35337.22,OP001,Online Payment,Card,2021-12-03,6165.45,0,6.0,Old
NZ30598,26995934,61,1961-05-24 18:00:00,Female,Executive_Management,Oyo,404394.21,310470.4,Roger Jacobs,Riv-HR001,1967-05-24,Savings,Keith Griffin,214462.7,CW001,Cash Withdrawal,ATM,2021-02-07,7743.89,0,18.0,Adult
NZ91691,27198565,44,1978-05-25 00:00:00,Female,Healthcare,Anambra,136148.51,109541.86,Norma Washington,Kad-HR001,1990-05-24,Domiciliary,Jeremy Vasquez,312862.55,MD001,Money Deposit,Bank,2021-03-09,4803.99,0,0.0,Adult
NZ27334,27988702,24,1998-05-25 00:00:00,Female,Healthcare,Delta,1654622.91,279191.43,Harry Watson,Abu-HR001,1980-05-25,Current,George Lewis,32983.27,CW001,Cash Withdrawal,POS,2022-02-07,6236.45,0,6.0,Young Adult
NZ18504,29289013,35,1987-05-25 06:00:00,Female,Executive_Management,Sokoto,22559.04,18114.91,Kimberly Young,Kad-HR001,2019-05-24,Savings,Jeremy Vasquez,17367.22,MD001,Money Deposit,Bank,2021-07-16,3230.31,0,18.0,Adult
NZ77494,29580855,71,1951-05-25 06:00:00,Male,Engineering,Abuja,1114277.64,453748.47,Jimmy Harper,Cro-HR001,1976-05-25,Current,Stephen Payne,98927.54,CW001,Cash Withdrawal,ATM,2021-10-23,18538.3,0,12.0,Senior
NZ93695,30606504,48,1974-05-25 00:00:00,Male,Engineering,Abia,869732.47,57619.78,Fred Fernandez,Del-HR001,1987-05-24,Domiciliary,Steve Diaz,87221.55,CW001,Cash Withdrawal,ATM,2022-01-09,2728.2,0,0.0,Adult
NZ51658,33594751,65,1957-05-24 18:00:00,Female,Writing_Content,Adamawa,791771.11,164193.53,Anna Jordan,Abu-HR001,2023-05-24,Domiciliary,George Lewis,355808.19,LP001,Loan Payment,AFT,2021-07-18,51314.9,5162925768,6.0,Senior
NZ36571,33666856,61,1961-05-24 18:00:00,Female,Education,Abuja,367693.55,96444.21,Clarence Burton,Cro-HR001,1975-05-24,Corporate,Stephen Payne,77385.85,OP001,Online Payment,Mobile,2021-07-30,2471.85,0,18.0,Adult
NZ16827,36351620,49,1973-05-24 18:00:00,Male,Accounting_And_Finance,Abuja,251496.87,182998.27,Ronald Fisher,Bay-HR001,2020-05-25,Joint,Shawn Wallace,271912.22,OP001,Online Payment,Mobile,2021-06-22,47987.28,0,0.0,Adult
NZ20002,41020835,18,2004-05-24 12:00:00,Male,Office_Clerical,Lagos,110150.2,88661.25,Jeffrey Watson,Ogu-HR001,1968-05-25,Domiciliary,Jesse Evans,279877.46,MD001,Money Deposit,ATM,2021-06-10,47796.45,0,12.0,Teen
NZ97947,41784538,62,1960-05-24 12:00:00,Female,Engineering,Abia,1238231.25,255967.16,Gregory Reyes,Ana-HR001,1983-05-24,Joint,Bruce Porter,142392.94,CH001,Checks,Informal Services,2021-08-31,45693.12,0,12.0,Adult
NZ41463,42101618,77,1945-05-24 18:00:00,Male,Accounting_And_Finance,Anambra,518507.01,43208.92,John Carr,Kog-HR001,1970-05-24,Savings,Shawn Cook,51160.98,MT001,Money Transfer,Internet Banking,2021-03-12,4492.2,0,18.0,Old
NZ34414,43105506,32,1990-05-25 00:00:00,Female,HR_Admin,Osun,336606.83,128306.6,Sarah Wright,Bay-HR001,2007-05-24,Domiciliary,Shawn Wallace,30131.94,MD001,Money Deposit,Bank,2022-03-15,22158.76,0,12.0,Adult
NZ49322,43798322,80,1942-05-25 00:00:00,Female,Healthcare,Delta,370664.48,195013.12,Randy Ross,Abu-HR001,1981-05-25,Fixed Deposit,Anthony Torres,104969.77,MD001,Money Deposit,Bank,2022-02-28,16207.79,0,18.0,Old
NZ47623,43919263,51,1971-05-25 06:00:00,Female,HR_Admin,Delta,489611.49,172063.47,Sarah Griffin,Del-HR001,1967-05-24,Domiciliary,Steve Diaz,282121.46,CW001,Cash Withdrawal,ATM,2021-06-11,44571.24,0,12.0,Adult
NZ33962,44195802,58,1964-05-24 12:00:00,Female,Executive_Management,Enugu,279314.42,150224.05,Theresa Ward,Del-HR001,2001-05-25,Domiciliary,Steve Diaz,23368.69,OP001,Online Payment,Mobile,2021-10-09,6392.88,0,6.0,Adult
NZ39027,45923697,42,1980-05-24 12:00:00,Male,Engineering,Kaduna,2845491.67,435192.84,Samuel Hicks,Pla-HR001,1985-05-25,Domiciliary,Victor Ramos,165463.53,MD001,Money Deposit,Bank,2022-03-13,11687.04,0,6.0,Adult
NZ79115,46729591,71,1951-05-25 06:00:00,Female,Engineering,Anambra,1059118.67,333264.03,Joshua Gibson,Kad-HR001,1956-05-25,Domiciliary,Jerry Green,274177.92,CH001,Checks,Informal Services,2021-11-07,19278.0,0,18.0,Senior
NZ37750,46797863,63,1959-05-25 06:00:00,Female,Accounting_And_Finance,Sokoto,516071.89,167366.08,Steve Scott,Lag-HR001,1972-05-25,Joint,Patrick Graham,136105.54,MD001,Money Deposit,Bank,2022-05-01,42499.8,0,6.0,Adult
NZ86889,48131367,51,1971-05-25 06:00:00,Male,Healthcare,River,600552.84,91260.48,Anne Hill,Kan-HR001,1972-05-25,Domiciliary,Joshua Ryan,46002.31,CW001,Cash Withdrawal,POS,2021-12-04,30977.96,0,6.0,Adult
NZ24235,48471431,44,1978-05-25 00:00:00,Female,Accounting_And_Finance,Lagos,227310.08,73669.13,Ralph Barnes,Lag-HR001,2009-05-25,Domiciliary,Benjamin Kim,210111.51,MT001,Money Transfer,Internet Banking,2021-03-24,37398.0,0,12.0,Adult
NZ50530,48927497,30,1992-05-24 12:00:00,Female,Executive_Management,Oyo,386551.75,190855.05,Doris James,Bay-HR001,1989-05-25,Savings,Shawn Wallace,150224.49,MD001,Money Deposit,Bank,2022-03-25,13471.78,0,0.0,Adult
NZ91337,48964941,25,1997-05-24 18:00:00,Male,Engineering,River,1529895.32,220393.62,Joseph Ray,Riv-HR001,2013-05-25,Corporate,Keith Griffin,341432.42,CW001,Cash Withdrawal,POS,2021-10-26,75963.9,0,12.0,Young Adult
NZ50762,49382283,75,1947-05-25 06:00:00,Female,HR_Admin,Osun,1209702.56,332242.25,Eric Reynolds,Kog-HR001,1962-05-24,Current,Shawn Cook,294401.25,CW001,Cash Withdrawal,ATM,2021-11-11,17782.4,0,18.0,Old
NZ39191,49939240,28,1994-05-25 00:00:00,Male,Healthcare,Oyo,803847.9,359052.06,Ernest Gomez,Kog-HR001,2014-05-24,Savings,Shawn Cook,19831.49,MT001,Money Transfer,Bank,2021-08-02,20224.4,0,6.0,Young Adult
NZ27011,50359721,29,1993-05-24 18:00:00,Female,Education,Kaduna,1144704.01,570935.88,Alice Chavez,Ben-HR001,1971-05-24,Domiciliary,Roger Alexander,66543.57,OP001,Online Payment,Mobile,2021-09-09,4081.02,0,18.0,Young Adult
NZ46908,50505862,21,2001-05-24 18:00:00,Male,Information_Technology_And_Software,Osun,307762.4,234087.09,Donald Butler,Sok-HR001,1981-05-25,Savings,Raymond Alexander,244042.61,OP001,Online Payment,Internet Banking,2021-03-30,43812.09,0,0.0,Young Adult
NZ97314,50810851,63,1959-05-25 06:00:00,Female,Education,Oyo,361645.83,141675.69,Kelly Sanchez,Enu-HR001,1960-05-25,Current,Paul Holmes,96994.77,MT001,Money Transfer,Bank,2022-02-20,12016.69,0,12.0,Adult
NZ81391,52532596,59,1963-05-25 06:00:00,Female,Accounting_And_Finance,Abuja,321400.46,94176.81,Brandon Patterson,Osu-HR001,1978-05-24,Domiciliary,James Castillo,402718.11,OP001,Online Payment,Mobile,2021-03-31,58736.61,0,0.0,Adult
NZ42415,54235781,59,1963-05-25 06:00:00,Male,Engineering,Abuja,380570.3,258895.0,Robert Thomas,Lag-HR001,1956-05-25,Domiciliary,Adam Hernandez,111451.97,OP001,Online Payment,Card,2021-11-28,27992.25,0,18.0,Adult
NZ35099,54519301,57,2002-06-30 18:00:00,Male,Education,Osun,516853.24,368844.69,KIENTIMI  ,Oyo-HR001,1984-05-25,Domiciliary,Donald Reynolds,42249.87,OP001,Online Payment,Card,2021-12-09,10373.1,0,0.0,Adult
NZ36468,54731291,55,1967-05-25 06:00:00,Male,Education,Kogi,1246515.55,230339.03,Teresa Campbell,Lag-HR001,2020-05-25,Current,Nicholas Cunningham,59075.44,MT001,Money Transfer,Mobile,2022-04-07,16256.5,0,0.0,Adult
NZ45804,55382792,36,1986-05-25 00:00:00,Male,Marketing_Sales_Customer,Lagos,280994.88,177152.59,Joe Garcia,Cro-HR001,1971-05-24,Savings,Stephen Payne,55214.54,MD001,Money Deposit,Bank,2021-04-20,21708.82,0,18.0,Adult
NZ57163,56426361,27,1995-05-25 06:00:00,Male,Healthcare,Abuja,673491.82,145106.87,Michael Alexander,Ben-HR001,1966-05-24,Current,Roger Alexander,201648.22,LP001,Loan Payment,AFT,2022-03-30,14404.56,1076621574,12.0,Young Adult
NZ93375,56948709,60,1962-05-25 00:00:00,Male,Accounting_And_Finance,Ogun,685540.13,227246.37,Anne Johnston,Imo-HR001,1957-05-25,Corporate,Jonathan Hawkins,300114.29,LP001,Loan Payment,AFT,2022-01-27,21075.83,1571582471,0.0,Adult
NZ98233,57782975,51,1971-05-25 06:00:00,Female,Information_Technology_And_Software,River,476989.04,149745.65,Doris Carroll,Abu-HR001,1981-05-25,Corporate,Ernest Rivera,270186.79,MT001,Money Transfer,Mobile,2022-01-13,5663.7,0,6.0,Adult
NZ69570,58064170,41,1981-05-24 18:00:00,Male,Executive_Management,Kaduna,1356428.64,176932.89,Timothy Holmes,Osu-HR001,1998-05-24,Fixed Deposit,Jason Duncan,228507.56,MD001,Money Deposit,Bank,2022-03-02,43267.5,0,6.0,Adult
NZ53584,58474603,84,1938-05-25 00:00:00,Male,Marketing_Sales_Customer,Imo,165213.86,41566.85,Sandra Knight,Ana-HR001,1964-05-25,Savings,Anthony Berry,55512.32,MD001,Money Deposit,Bank,2021-07-24,8663.46,0,12.0,Old
NZ13570,59456070,29,1993-05-24 18:00:00,Male,Writing_Content,Oyo,865205.86,492563.71,Karen Ray,Kan-HR001,1973-05-25,Joint,Bruce Butler,87849.47,MD001,Money Deposit,ATM,2021-09-11,9385.35,0,0.0,Young Adult
NZ40901,59844378,39,1983-05-25 06:00:00,Female,Marketing_Sales_Customer,Abuja,1572704.65,605843.39,Todd Lawrence,Kan-HR001,1955-05-24,Fixed Deposit,Bruce Butler,373301.57,MD001,Money Deposit,Bank,2022-04-03,63441.05,0,18.0,Adult
NZ46526,61136726,64,1958-05-25 00:00:00,Female,Healthcare,Oyo,1503762.65,989013.13,Steven Hall,Ana-HR001,1959-05-24,Current,Bruce Porter,143436.72,MT001,Money Transfer,Mobile,2021-05-01,15120.8,0,6.0,Adult
NZ15006,62019148,28,1994-05-25 00:00:00,Male,HR_Admin,Abia,1120917.37,437157.77,Ann Harper,Lag-HR001,1975-05-24,Domiciliary,Nicholas Cunningham,116881.23,OP001,Online Payment,Mobile,2021-08-12,36505.6,0,12.0,Young Adult
NZ70133,62120508,85,1937-05-24 18:00:00,Male,Science_And_Research,Lagos,198995.43,68530.24,Alan Bennett,Lag-HR001,1977-05-25,Domiciliary,Adam Hernandez,158603.63,CW001,Cash Withdrawal,ATM,2021-02-24,32769.66,0,0.0,Old
NZ91167,62293485,40,1982-05-25 00:00:00,Male,Writing_Content,Kaduna,130298.13,41616.43,Jack Griffin,Riv-HR001,2006-05-24,Current,Mark Montgomery,245839.9,CH001,Checks,Bank,2022-02-08,5995.99,0,0.0,Adult
NZ59695,62724933,47,1975-05-25 06:00:00,Female,Accounting_And_Finance,Sokoto,976553.21,471515.9,Larry Foster,Riv-HR001,1990-05-24,Domiciliary,Keith Griffin,64608.77,CH001,Checks,Bank,2022-04-16,21195.13,0,12.0,Adult
NZ33502,65374783,42,1980-05-24 12:00:00,Female,Engineering,Adamawa,45415.83,26353.13,Denise Hamilton,Enu-HR001,1972-05-25,Joint,Paul Holmes,102662.31,MT001,Money Transfer,Internet Banking,2022-01-18,29101.05,0,0.0,Adult
NZ50738,65997466,18,2004-05-24 12:00:00,Male,Marketing_Sales_Customer,Delta,63685.81,43186.94,Nicole Hayes,Lag-HR001,2005-05-25,Savings,Carl Nguyen,206263.62,MT001,Money Transfer,Bank,2022-04-21,33478.56,0,6.0,Teen
NZ35221,66046046,74,1948-05-24 12:00:00,Male,Education,Lagos,73076.62,52337.66,Keith Weaver,Abi-HR001,1991-05-24,Current,Samuel Fowler,338807.39,MD001,Money Deposit,Bank,2021-12-04,57559.36,0,12.0,Senior
NZ79396,66714376,37,1985-05-24 18:00:00,Female,Education,Edo,817932.1,268068.84,Louis Bennett,Ogu-HR001,1982-05-24,Current,Joe Hanson,150098.37,LP001,Loan Payment,AFT,2021-10-20,5591.88,95652144,12.0,Adult
NZ96775,67197710,29,1993-05-24 18:00:00,Male,Information_Technology_And_Software,Kano,556187.69,65208.21,Diane James,Ada-HR001,2010-05-24,Corporate,Shawn Long,162714.82,OP001,Online Payment,Internet Banking,2021-02-16,21954.24,0,0.0,Young Adult
NZ12731,67704835,20,2002-05-25 00:00:00,Female,Accounting_And_Finance,Oyo,141935.64,107978.21,Nancy Mitchell,Abu-HR001,2014-05-24,Savings,Frank Brown,76005.3,MD001,Money Deposit,Bank,2021-07-20,40640.6,0,18.0,Young Adult
NZ71868,68152684,73,1949-05-24 18:00:00,Female,Marketing_Sales_Customer,Ogun,206647.94,161400.09,Arthur Austin,Imo-HR001,1966-05-24,Savings,Jonathan Hawkins,409671.26,MD001,Money Deposit,Bank,2021-05-03,29437.18,0,0.0,Senior
NZ56730,68251891,31,1991-05-25 06:00:00,Female,HR_Admin,Kaduna,1747703.69,325214.59,Craig Daniels,Kad-HR001,1965-05-25,Current,Jeremy Vasquez,97526.95,CW001,Cash Withdrawal,ATM,2021-08-12,6751.49,0,0.0,Adult
NZ18979,70154942,70,1952-05-24 12:00:00,Male,Office_Clerical,Enugu,1268890.97,252097.54,Randy Gardner,Osu-HR001,2023-05-24,Savings,Gregory Simmons,149316.84,CW001,Cash Withdrawal,ATM,2022-03-04,26054.4,0,6.0,Senior
NZ18979,70154942,70,1952-05-24 12:00:00,Male,Information_Technology_And_Software,Enugu,1268890.97,252097.54,Randy Gardner,Osu-HR001,2023-05-24,Savings,Gregory Simmons,149316.84,CW001,Cash Withdrawal,ATM,2022-03-04,26054.4,0,6.0,Senior
NZ58661,70992498,81,1941-05-24 18:00:00,Female,Education,Anambra,581539.75,292022.42,Paul Wallace,Kog-HR001,1970-05-24,Domiciliary,Shawn Cook,266959.84,MD001,Money Deposit,Bank,2022-04-18,24591.7,0,12.0,Old
NZ86953,72373489,58,1964-05-24 12:00:00,Female,Writing_Content,Abuja,77019.89,31433.38,Joshua Allen,Ogu-HR001,2019-05-24,Current,Joe Hanson,192608.67,MT001,Money Transfer,Mobile,2021-05-20,8102.16,0,12.0,Adult
NZ99412,72496093,36,1986-05-25 00:00:00,Female,Information_Technology_And_Software,Benue,811860.87,332664.94,Gerald Berry,Oyo-HR001,1985-05-25,Savings,Donald Reynolds,77959.98,MD001,Money Deposit,ATM,2022-02-19,5382.4,0,0.0,Adult
NZ99412,72496093,36,1986-05-25 00:00:00,Female,Office_Clerical,Benue,811860.87,332664.94,Gerald Berry,Oyo-HR001,1985-05-25,Savings,Donald Reynolds,77959.98,MD001,Money Deposit,ATM,2022-02-19,5382.4,0,0.0,Adult
NZ80417,73715561,76,1946-05-25 00:00:00,Male,Education,Kaduna,257214.8,76064.63,Wayne Stephens,Ben-HR001,1992-05-25,Corporate,Roger Alexander,321119.76,MD001,Money Deposit,Bank,2022-01-09,48322.6,0,0.0,Old
NZ29284,74610243,28,1994-05-25 00:00:00,Male,Engineering,Lagos,98253.57,20878.88,Cynthia Rogers,Oyo-HR001,1984-05-25,Domiciliary,Douglas Tucker,349237.31,MD001,Money Deposit,Bank,2021-04-08,35806.5,0,6.0,Young Adult
NZ99234,74758408,37,1985-05-24 18:00:00,Male,Healthcare,Kwara,173962.47,101356.03,Barbara Duncan,Kwa-HR001,1955-05-24,Corporate,Phillip Peters,172604.84,MT001,Money Transfer,Mobile,2022-01-16,57941.64,0,18.0,Adult
NZ67517,75645378,73,1949-05-24 18:00:00,Male,Accounting_And_Finance,Osun,204597.05,272234.43,Janet Frazier,Kan-HR001,2012-05-25,Domiciliary,Bruce Butler,74280.15,CW001,Cash Withdrawal,ATM,2021-10-16,28989.03,0,18.0,Senior
NZ28425,76810447,62,1960-05-24 12:00:00,Female,Marketing_Sales_Customer,Lagos,119417.93,91498.84,Peter Murphy,Abi-HR001,1995-05-24,Domiciliary,Roy Rice,185141.25,MT001,Money Transfer,Mobile,2021-05-02,37344.75,0,18.0,Adult
